,S&P GSCI,GOLD,MSCI World
2010-03-09,9.455120024051178,,-1.6278297698384625
2010-03-10,9.52462763571804,,-1.5499297772440412
2010-03-11,9.47099326907459,,-1.4536369376935143
2010-03-12,9.53532948095046,,-1.4209838386099571
2010-03-15,9.427681020826073,,-1.5332560379742954
2010-03-16,9.57800923917591,,-1.4262121961849505
2010-03-17,9.670234604096395,,-1.1356946362907183
2010-03-18,9.502170365415697,,-1.2775544523854099
2010-03-19,9.283950958176646,,-1.290007815314298
2010-03-22,9.331138597445143,,-1.2136978045147906
2010-03-23,9.242589829374047,,-1.0589443239922613
2010-03-24,8.794610034953232,,-1.0064114978039829
2010-03-25,8.773087416394088,,-1.0747692730927683
2010-03-26,8.739499681856323,,-1.186549387445579
2010-03-29,8.852671992783478,,-1.182072454616201
2010-03-30,8.614621580312743,,-1.30494991154958
2010-03-31,9.304212943072955,,-1.1337990434909684
2010-04-01,9.397257517332292,,-1.0003541723181075
2010-04-05,9.685962749931054,,-0.7644521678707106
2010-04-06,9.69677716723556,,-0.6676934248930566
2010-04-07,9.678750842701621,,-0.6518502377090729
2010-04-08,9.755283731808785,,-0.7072642790038386
2010-04-09,9.740703699321696,,-0.6139181197036603
2010-04-12,9.76584429402807,,-0.5744453458410792
2010-04-13,10.141293744327928,,-0.6445734418633942
2010-04-14,10.24880901187213,,-0.7626221204847128
2010-04-15,10.309213762105518,,-0.7151854869880903
2010-04-16,10.148685686581826,,-1.0334087112155887
2010-04-19,9.835644140570032,,-1.317011432861137
2010-04-20,9.954061968150029,,-1.2314293792480502
2010-04-21,10.069238413215853,,-1.253164947380292
2010-04-22,10.282347192725538,,-1.3193515563962421
2010-04-23,10.348525180471114,,-1.2190033832046754
2010-04-26,10.185271108319593,,-1.1524903045207258
2010-04-27,10.124159769754248,,-1.3444729117179643
2010-04-28,10.44682149754177,,-1.485522381180493
2010-04-29,10.464856815458813,,-1.3911260925764224
2010-04-30,10.639744160795917,,-1.435774355119479
2010-05-03,10.814143598083792,,-1.3718718819437536
2010-05-04,10.741780633915198,,-1.7148545842506357
2010-05-05,10.43528043987405,,-1.8406933572229334
2010-05-06,9.81805412247434,,-2.0930339759307026
2010-05-07,9.700201384128505,,-2.207434643228845
2010-05-10,10.06200715799126,,-1.6744848406939683
2010-05-11,10.019699599777265,,-1.7645708538543636
2010-05-12,10.03999370997175,,-1.6575790832605186
2010-05-13,9.789750099836226,,-1.7567181281139987
2010-05-14,9.398834726019789,,-1.9342220049461067
2010-05-17,9.04632868015398,,-2.0846106546666077
2010-05-18,9.151494356716627,,-2.19915622612733
2010-05-19,9.179871991741283,,-2.3383715189898346
2010-05-20,8.899102952255733,,-2.543046068475696
2010-05-21,8.83272307005074,,-2.4659682863545584
